Wall time,Step,Value
1746616997.3852584,514,0.8177335262298584
1746617127.345219,1029,0.4711531400680542
1746617258.0101986,1544,0.34704089164733887
1746617389.8834586,2059,0.2636837661266327
1746617520.2295446,2574,0.23242782056331635
1746617651.0406728,3089,0.20955051481723785
1746617758.208436,3604,0.47881290316581726
1746617869.671499,4119,0.29854467511177063
1746618002.5180783,4634,0.19156870245933533
1746618112.767676,5149,0.3065774440765381
1746618242.099294,5664,0.17136700451374054
1746618353.7536743,6179,0.2192157804965973
1746618463.710784,6694,0.20759321749210358
1746618574.4919603,7209,0.17842774093151093
1746618683.9785633,7724,0.17820841073989868
1746618795.0863342,8239,0.18351835012435913
1746618905.8017585,8754,0.2155245989561081
1746619016.5510378,9269,0.20569072663784027
1746619126.4135218,9784,0.1866777539253235
1746619239.2606528,10299,0.20425044000148773
1746619349.0293593,10814,0.1894291788339615
1746619459.0363302,11329,0.1905234158039093
1746619571.5453522,11844,0.18894577026367188
1746619707.5056248,12359,0.17133381962776184
1746619816.6380901,12874,0.17273549735546112
1746619924.729463,13389,0.17527742683887482
1746620056.2691953,13904,0.1704648733139038
1746620190.4520493,14419,0.1691303551197052
1746620320.1406574,14934,0.1631115972995758
1746620453.1355257,15449,0.16182632744312286
1746620561.3409293,15964,0.18823334574699402
1746620694.376095,16479,0.1540985256433487
1746620804.5901246,16994,0.16078563034534454
1746620911.4471083,17509,0.16582147777080536
1746621022.5051775,18024,0.15951712429523468
1746621133.146237,18539,0.16041064262390137
1746621244.333068,19054,0.2311374843120575
1746621355.0878716,19569,0.16064229607582092
1746621485.8658528,20084,0.1490793526172638
1746621618.991343,20599,0.1486007124185562
1746621749.8247824,21114,0.14475929737091064
1746621861.3879087,21629,0.14600053429603577
1746621994.2668626,22144,0.1444065123796463
1746622126.8325996,22659,0.14248915016651154
1746622238.37293,23174,0.14323930442333221
1746622350.9404364,23689,0.14283837378025055
1746622488.9026084,24204,0.14108850061893463
1746622600.7647798,24719,0.14169356226921082
1746622737.7336853,25234,0.13883741199970245
1746622875.708847,25749,0.13641932606697083
1746623013.0888646,26264,0.13227170705795288
1746623125.205703,26779,0.27481529116630554
1746623237.627539,27294,0.15585047006607056
1746623350.9637241,27809,0.13407336175441742
1746623463.328181,28324,0.13289174437522888
1746623574.6757414,28839,0.1358923763036728
1746623712.6269166,29354,0.12882889807224274
1746623826.667327,29869,0.13363085687160492
1746623937.7014074,30384,0.1466466635465622
1746624048.9546714,30899,0.1324051171541214
1746624188.2082145,31414,0.12423287332057953
1746624324.8228006,31929,0.12275861948728561
1746624459.7877674,32444,0.1224987581372261
1746624571.717455,32959,0.1226191520690918
1746624684.0556154,33474,0.12329456210136414
1746624824.1539235,33989,0.11957138031721115
1746624961.5790362,34504,0.11885437369346619
1746625101.835847,35019,0.11612136662006378
1746625241.8684378,35534,0.11237713694572449
1746625355.3376343,36049,0.12533879280090332
1746625467.924303,36564,0.1293935477733612
1746625580.0726492,37079,0.12975767254829407
1746625693.2634025,37594,0.1198648065328598
1746625833.3412654,38109,0.11196112632751465
1746625945.0759573,38624,0.13142526149749756
1746626057.5063467,39139,0.11735706031322479
1746626171.6056435,39654,0.13090667128562927
1746626284.3777776,40169,0.1429940164089203
1746626395.2330384,40684,0.1382961869239807
1746626508.1347468,41199,0.12738358974456787
1746626646.018301,41714,0.1061808243393898
1746626778.4268172,42229,0.10315895080566406
1746626892.0483923,42744,0.10540259629487991
1746627031.6412923,43259,0.1026182770729065
1746627171.2920763,43774,0.09907274693250656
1746627310.263625,44289,0.09844142198562622
